propertyName1,propertyName1_link,propertyName2,propertyName3
Apple iPhone 14 Pro Max (256 GB) - Deep Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-256GB-Deep-Purple/dp/B0BDK2FB2T?ref_=ast_sto_dp&th=1&psc=1,"1,49,900",301
Apple iPhone 14 Pro Max (128 GB) - Gold,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-128GB-Gold/dp/B0BDJKL7KY?ref_=ast_sto_dp&th=1&psc=1,"1,27,999",301
Apple iPhone 14 Pro Max (1 TB) - Gold,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-Max-Gold/dp/B0BDJPZ4RC?ref_=ast_sto_dp&th=1&psc=1,"1,89,900",301
Apple iPhone 14 Pro Max (256 GB) - Gold,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-256GB-Gold/dp/B0BDK63WMS?ref_=ast_sto_dp&th=1&psc=1,"1,49,900",301
Apple iPhone 14 Pro Max (128 GB) - Silver,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-128GB-Silver/dp/B0BDJPYT2J?ref_=ast_sto_dp&th=1&psc=1,"1,27,999",301
Apple iPhone 14 Pro Max (1 TB) - Silver,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-Max-Silver/dp/B0BDJJ5VF6?ref_=ast_sto_dp&th=1&psc=1,"1,89,900",301
Apple iPhone 14 Pro Max (256 GB) - Silver,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-256GB-Silver/dp/B0BDJHC1VV?ref_=ast_sto_dp&th=1&psc=1,"1,49,900",301
Apple iPhone 14 Pro Max (512 GB) - Silver,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-512GB-Silver/dp/B0BDJJDX3C?ref_=ast_sto_dp&th=1&psc=1,"1,69,900",301
Apple iPhone 14 Pro Max (128 GB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-128GB-Space-Black/dp/B0BDJ22G36?ref_=ast_sto_dp&th=1&psc=1,"1,27,999",301
Apple iPhone 14 Pro Max (1 TB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-Space-Black/dp/B0BDJJLDYZ?ref_=ast_sto_dp,"1,89,900",7
Apple iPhone 14 Pro Max (256 GB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-256GB-Space-Black/dp/B0BDJFZ11C?ref_=ast_sto_dp&th=1&psc=1,"1,49,900",301
Apple iPhone 14 Pro Max (512 GB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-512GB-Space-Black/dp/B0BDJJ7X53?ref_=ast_sto_dp&th=1&psc=1,"1,69,900",301
Apple iPhone 14 (128 GB) - (Product) RED,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-128GB-Product-RED/dp/B0BDJVSDMY?ref_=ast_sto_dp&th=1&psc=1,"71,999",500
Apple iPhone 14 (256 GB) - (Product) RED,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-256GB-Product-RED/dp/B0BDJ3R6QW?ref_=ast_sto_dp&th=1&psc=1,"81,999",500
Apple iPhone 14 (512 GB) - (Product) RED,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-512GB-Product-RED/dp/B0BDHY3LFJ?ref_=ast_sto_dp&th=1&psc=1,"1,04,900",500
Apple iPhone 14 (128 GB) - Blue,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX?ref_=ast_sto_dp&th=1&psc=1,"71,999",500
Apple iPhone 14 (256 GB) - Blue,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-14-256GB-Blue/dp/B0BDJ1B1CS?ref_=ast_sto_dp&th=1&psc=1,"81,999",500
Apple iPhone 14 (512 GB) - Blue,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-14-512GB-Blue/dp/B0BDJH3V3Q?ref_=ast_sto_dp&th=1&psc=1,"1,01,999",500
Apple iPhone 14 (128 GB) - Midnight,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-14-128GB-Midnight/dp/B0BDHX8Z63?ref_=ast_sto_dp&th=1&psc=1,"71,999",500
Apple iPhone 14 (128 GB) - Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-14-128GB-Purple/dp/B0BDJ213TX?ref_=ast_sto_dp&th=1&psc=1,"74,900",500
Apple iPhone 14 (256 GB) - Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-14-256GB-Purple/dp/B0BDJB5KHG?ref_=ast_sto_dp&th=1&psc=1,"81,999",500
Apple iPhone 14 (512 GB) - Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-14-512GB-Purple/dp/B0BDJYHP2H?ref_=ast_sto_dp&th=1&psc=1,"1,01,999",500
